audio_path,gt,pipe1_top1,pipe1_top1_score,pipe1_top1_correct,pipe1_top3_correct,pipe1_mrr,pipe2_top1,pipe2_top1_score,pipe2_top1_correct,pipe2_top3_correct,pipe2_mrr,pipe3_top1,pipe3_top1_score,pipe3_top1_correct,pipe3_top3_correct,pipe3_mrr
/home/alex/Documents/KNN/all-datasets/amused_113-136_0113_jenie.wav,amused,happy,0.1308315247297287,True,True,1.0,sad,0.8240044713020325,False,True,0.5,fearful,0.9967237114906311,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0114_jenie.wav,amused,happy,0.1392066776752472,True,True,1.0,sad,0.8094397783279419,False,True,0.5,fearful,0.9995183944702148,False,True,0.3333333333333333
/home/alex/Documents/KNN/all-datasets/amused_113-136_0115_jenie.wav,amused,surprised,0.13076438009738922,False,False,0.25,sad,0.9388711452484131,False,False,0.25,happy,0.9558196663856506,True,True,1.0
/home/alex/Documents/KNN/all-datasets/amused_113-136_0116_jenie.wav,amused,happy,0.13621191680431366,True,True,1.0,sad,0.7928454279899597,False,True,0.5,fearful,0.9982225298881531,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0117_jenie.wav,amused,surprised,0.1339971274137497,False,True,0.3333333333333333,sad,0.9063519239425659,False,True,0.5,fearful,0.999032735824585,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0118_jenie.wav,amused,surprised,0.13161440193653107,False,True,0.5,anger,0.5202309489250183,False,True,0.5,fearful,0.9882588386535645,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0119_jenie.wav,amused,surprised,0.1343323290348053,False,False,0.25,sad,0.8911987543106079,False,True,0.3333333333333333,fearful,0.9230815768241882,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0120_jenie.wav,amused,surprised,0.13224241137504578,False,True,0.5,sad,0.4596874415874481,False,True,0.5,fearful,0.9953632354736328,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0121_jenie.wav,amused,surprised,0.1342383325099945,False,True,0.5,sad,0.7912473082542419,False,True,0.5,fearful,0.9987785220146179,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0122_jenie.wav,amused,happy,0.13470230996608734,True,True,1.0,sad,0.5422655940055847,False,True,0.5,fearful,0.999491810798645,False,True,0.3333333333333333
/home/alex/Documents/KNN/all-datasets/amused_113-136_0123_jenie.wav,amused,surprised,0.13493792712688446,False,False,0.25,sad,0.9176591634750366,False,True,0.5,fearful,0.8935829997062683,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0124_jenie.wav,amused,happy,0.13393494486808777,True,True,1.0,sad,0.58738112449646,False,True,0.5,fearful,0.9990109205245972,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0125_jenie.wav,amused,surprised,0.1332402527332306,False,True,0.5,sad,0.9696131348609924,False,True,0.5,happy,0.5132248401641846,True,True,1.0
/home/alex/Documents/KNN/all-datasets/amused_113-136_0126_jenie.wav,amused,surprised,0.1347653567790985,False,False,0.25,sad,0.8768382668495178,False,True,0.5,fearful,0.6807419657707214,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0127_jenie.wav,amused,happy,0.1346280425786972,True,True,1.0,sad,0.8569281101226807,False,True,0.5,fearful,0.9990587830543518,False,True,0.3333333333333333
/home/alex/Documents/KNN/all-datasets/amused_113-136_0128_jenie.wav,amused,surprised,0.13103121519088745,False,False,0.25,sad,0.5533579587936401,False,True,0.5,fearful,0.9430744051933289,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0129_jenie.wav,amused,surprised,0.13712672889232635,False,False,0.25,sad,0.763863742351532,False,True,0.3333333333333333,fearful,0.9991722106933594,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0130_jenie.wav,amused,surprised,0.13382484018802643,False,True,0.3333333333333333,happy,0.6387693285942078,True,True,1.0,happy,0.9989866614341736,True,True,1.0
/home/alex/Documents/KNN/all-datasets/amused_113-136_0131_jenie.wav,amused,happy,0.13582035899162292,True,True,1.0,sad,0.8125646114349365,False,True,0.5,fearful,0.9895899891853333,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0132_jenie.wav,amused,happy,0.1324428915977478,True,True,1.0,happy,0.5608082413673401,True,True,1.0,fearful,0.9902505874633789,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0133_jenie.wav,amused,happy,0.13515055179595947,True,True,1.0,sad,0.7706275582313538,False,True,0.5,fearful,0.9994648098945618,False,False,0.25
/home/alex/Documents/KNN/all-datasets/amused_113-136_0134_jenie.wav,amused,surprised,0.13431690633296967,False,False,0.2,sad,0.5955382585525513,False,False,0.25,fearful,0.9649887084960938,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0135_jenie.wav,amused,surprised,0.13259625434875488,False,False,0.2,anger,0.5634864568710327,False,True,0.3333333333333333,fearful,0.9965113997459412,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-136_0136_jenie.wav,amused,surprised,0.13212950527668,False,True,0.5,sad,0.9401081800460815,False,True,0.5,fearful,0.996821403503418,False,True,0.5
/home/alex/Documents/KNN/all-datasets/amused_113-140_0113_bea.wav,amused,surprised,0.12942665815353394,False,False,0.16666666666666666,happy,0.817191481590271,True,True,1.0,happy,0.9451271891593933,True,True,1.0
/home/alex/Documents/KNN/all-datasets/amused_113-140_0113_josh.wav,amused,surprised,0.13187889754772186,False,True,0.3333333333333333,happy,0.7679249048233032,True,True,1.0,happy,0.9411128163337708,True,True,1.0
/home/alex/Documents/KNN/all-datasets/amused_113-140_0113_sam.wav,amused,happy,0.14030249416828156,True,True,1.0,happy,0.9846204519271851,True,True,1.0,fearful,0.9995211362838745,False,False,0.25
/home/alex/Documents/KNN/all-datasets/amused_113-140_0114_bea.wav,amused,surprised,0.13309141993522644,False,False,0.2,anger,0.787654459476471,False,True,0.3333333333333333,happy,0.9953868985176086,True,True,1.0
/home/alex/Documents/KNN/all-datasets/amused_113-140_0114_josh.wav,amused,happy,0.14241041243076324,True,True,1.0,happy,0.8697323203086853,True,True,1.0,happy,0.9992563128471375,True,True,1.0
/home/alex/Documents/KNN/all-datasets/amused_113-140_0114_sam.wav,amused,happy,0.13751079142093658,True,True,1.0,happy,0.986822247505188,True,True,1.0,surprised,0.8360466957092285,False,True,0.3333333333333333
